Date,Open,High,Low,Close,Volume,MA5,MA20,MACD,MACD_Signal,MACD_Hist,RSI,Upper,Middle,Lower,Volume_MA5,CRSI,Kalman_Price,Kalman_Trend,FFT_21,FFT_63
2020-01-02,207.1484863727928,208.84896850585938,206.7426935208659,208.84896850585938,30969400.0,,,,,,,,,,,,208.84896850585938,0.0,208.84896850585938,208.84896850585938
2020-01-03,206.08571720779315,208.18232115804335,206.0663895248192,206.93594360351562,27518900.0,,,,,,,,,,,,207.16769357914424,-1.3479333066059576,206.93594360351562,206.93594360351562
2020-01-06,205.31274023249196,208.2982254816246,205.06153936357958,208.2692413330078,21655300.0,,,,,,,,,,,,207.74135910592912,-0.26749639691942195,208.2692413330078,208.2692413330078
2020-01-07,208.34652975576378,208.82961853879448,207.58325596536318,208.24024963378906,22139300.0,,,,,,,,,,,,208.00194573191038,-0.03385698157993994,208.24024963378906,208.24024963378906
2020-01-08,208.21129365443758,210.76200218420846,207.8827967757834,209.80548095703125,26397300.0,208.41997680664062,,,,,,210.28781688896242,208.41997680664062,206.5521367243188,25736040.0,,209.11192102801667,0.41370100494482387,209.80548095703125,209.80548095703125
2020-01-09,211.5349401213833,211.98904480289312,210.34654572258373,211.583251953125,23547000.0,208.96683349609376,,,,,,212.1528087372737,208.96683349609376,205.78085825491382,24251560.0,,210.72696164703999,0.8648330896968834,211.583251953125,211.583251953125
2020-01-10,212.4141758763501,212.43348881584438,210.66538183379288,211.0421905517578,21898500.0,209.7880828857422,,,,,,212.54465875438464,209.7880828857422,207.03150701709976,23127480.0,,211.28113904827617,0.74846515911496,211.0421905517578,211.0421905517578
2020-01-13,211.9117409299452,213.5059281191521,211.57357286304648,213.47694396972656,22756900.0,210.82962341308593,,,,,,214.33677852612502,210.82962341308593,207.32246830004684,23347800.0,,212.8374718138239,1.0530900909459753,213.47694396972656,213.47694396972656
2020-01-14,213.37064215437871,213.72813786545953,212.30785571716044,212.6363525390625,24418100.0,211.70884399414064,,,,,,214.24962192990412,211.70884399414064,209.16806605837715,23803560.0,,213.19291437506925,0.7888074467524788,212.6363525390625,212.6363525390625
2020-01-15,212.75229652541753,213.71847408887783,212.02766335282232,212.7233123779297,25742100.0,212.29241027832032,,,,,,214.02977560757958,212.29241027832032,210.55504494906106,23672520.0,,213.28210979074794,0.5233594371406098,212.7233123779297,212.7233123779297
2020-01-16,213.78617435791392,214.80066403642917,213.3320695946043,214.7620086669922,18805000.0,212.92816162109375,,,,,,215.35272915878946,212.92816162109375,210.50359408339804,22724120.0,,214.33724674170307,0.7251441913658461,214.7620086669922,214.7620086669922
2020-01-17,215.728098648501,215.9986271535702,214.60732927452983,215.82472229003906,24325200.0,213.88466796875,,,,,,216.35153878823834,213.88466796875,211.41779714926165,23209460.0,,215.48617095009158,0.8859064429069795,215.82472229003906,215.82472229003906
2020-01-21,215.22574811994335,216.26922184858236,215.12913919153561,215.72816467285156,21146300.0,214.334912109375,,,,,,217.13854644470965,214.334912109375,211.53127777404038,22887340.0,,216.01416670576887,0.7501571016134494,215.72816467285156,215.72816467285156
2020-01-22,216.8199161507174,217.53487813080417,216.02764345173478,216.2981719970703,20736400.0,215.06727600097656,,,,,,217.6148956400894,215.06727600097656,212.51965636186372,22151000.0,,216.50524251913333,0.6518985305109161,216.2981719970703,216.2981719970703
2020-01-23,216.17259329016707,217.0904591115547,215.16776027559666,216.99383544921875,26496100.0,215.92138061523437,,,,,77.17615097782456,217.38642659758287,215.92138061523437,214.45633463288587,22301800.0,,217.0663822910776,0.6174777633494785,216.99383544921875,216.99383544921875
2020-01-24,218.00835063678815,218.24023860811417,214.1726237244824,215.16778564453125,37436500.0,216.00253601074218,,,,,68.22325230491117,217.2268826078687,216.00253601074218,214.77818941361565,26028100.0,,216.28555326299457,0.08715711020506833,215.16778564453125,215.16778564453125
2020-01-27,210.3078940852008,211.86344074154854,209.83446171406837,210.72335815429688,42264400.0,214.98226318359374,,,,,52.31578075393324,219.41009322992332,214.98226318359374,210.55443313726417,29615940.0,,213.23310378825394,-1.1035757224698426,210.72335815429688,210.72335815429688
